hoard_id,label,longitude,latitude,closing_year,bin_start_year,bin_end_year,weight
MAD,Maddaloni (Italy; MAD),14.3823,41.03578,-115.0,-125,-100,1.0
SUR,Surbo (Italy; SUR),18.13456,40.39383,-46.0,-75,-50,0.24
SUR,Surbo (Italy; SUR),18.13456,40.39383,-46.0,-50,-25,0.76
SUS,Sustinenza (Italy; SUS),11.18365,45.15686,-56.0,-75,-50,0.64
SUS,Sustinenza (Italy; SUS),11.18365,45.15686,-56.0,-50,-25,0.36
SY2,Syracuse (Sicily; SY2),15.28664,37.07542,-136.0,-150,-125,0.84
SY2,Syracuse (Sicily; SY2),15.28664,37.07542,-136.0,-125,-100,0.16
MAN,San Mango sul Calore (Italy; MAN),14.97251,40.9589,-75.0,-100,-75,0.4
MAN,San Mango sul Calore (Italy; MAN),14.97251,40.9589,-75.0,-75,-50,0.6
SYR,Syracuse (Sicily; SYR),15.28664,37.07542,-88.0,-100,-75,0.92
SYR,Syracuse (Sicily; SYR),15.28664,37.07542,-88.0,-75,-50,0.08
MAS,Maserà (Italy; MAS),8.32526,46.13888,-125.0,-150,-125,0.4
MAS,Maserà (Italy; MAS),8.32526,46.13888,-125.0,-125,-100,0.6
TDS,Terranova di Sicilia (Sicily; TDS),14.24038,37.07381,-118.0,-150,-125,0.12
TDS,Terranova di Sicilia (Sicily; TDS),14.24038,37.07381,-118.0,-125,-100,0.88
CER,Cervia (Italy; CER),12.34812,44.26204,-82.0,-100,-75,0.68
CER,Cervia (Italy; CER),12.34812,44.26204,-82.0,-75,-50,0.32
CES,Cesena (Italy; CES),12.24315,44.1391,-82.0,-100,-75,0.68
CES,Cesena (Italy; CES),12.24315,44.1391,-82.0,-75,-50,0.32
MDI,Monteverde di Fermo (Italy; MDI),13.57395,42.85351,-92.0,-125,-100,0.08
MDI,Monteverde di Fermo (Italy; MDI),13.57395,42.85351,-92.0,-100,-75,0.92
CG1,Cerignola (Italy; CG1),15.89559,41.26523,-36.0,-50,-25,0.84
CG1,Cerignola (Italy; CG1),15.89559,41.26523,-36.0,-25,0,0.16
CG2,Cerignola (Italy; CG2),15.89559,41.26523,-100.0,-125,-100,0.4
CG2,Cerignola (Italy; CG2),15.89559,41.26523,-100.0,-100,-75,0.6
ME1,Meolo (Italy; ME1),12.45236,45.6197,-27.0,-50,-25,0.48
ME1,Meolo (Italy; ME1),12.45236,45.6197,-27.0,-25,0,0.52
ME2,Meolo (Albaredo d'Adige) (Italy; ME2),11.27843,45.31859,-39.0,-50,-25,0.96
ME2,Meolo (Albaredo d'Adige) (Italy; ME2),11.27843,45.31859,-39.0,-25,0,0.04
CHI,Civitella in Val di Chiana (Italy; CHI),11.7229,43.41731,-42.0,-75,-50,0.08
CHI,Civitella in Val di Chiana (Italy; CHI),11.7229,43.41731,-42.0,-50,-25,0.92
MES,Mesagne (Italy; MES),17.80774,40.55851,-58.0,-75,-50,0.72
MES,Mesagne (Italy; MES),17.80774,40.55851,-58.0,-50,-25,0.28
CIN,Cingoli (Italy; CIN),13.20787,43.37573,-87.0,-100,-75,0.88
CIN,Cingoli (Italy; CIN),13.20787,43.37573,-87.0,-75,-50,0.12
CIS,Cisterna di Latina (Italy; CIS),12.82808,41.5908,-41.0,-75,-50,0.04
CIS,Cisterna di Latina (Italy; CIS),12.82808,41.5908,-41.0,-50,-25,0.96
TNI,Terni (Italy; TNI),12.64329,42.56335,-42.0,-75,-50,0.08
TNI,Terni (Italy; TNI),12.64329,42.56335,-42.0,-50,-25,0.92
TOL,Tolfa (Italy; TOL),11.93216,42.15023,-72.0,-100,-75,0.28
TOL,Tolfa (Italy; TOL),11.93216,42.15023,-72.0,-75,-50,0.72
CLA,Claterna (Italy; CLA),11.47136,44.44279,-92.0,-125,-100,0.08
CLA,Claterna (Italy; CLA),11.47136,44.44279,-92.0,-100,-75,0.92
MIG,Mignano (Italy; MIG),13.98552,41.40592,-49.0,-75,-50,0.36
MIG,Mignano (Italy; MIG),13.98552,41.40592,-49.0,-50,-25,0.64
TR1,Taranto (Italy; TR1),17.24707,40.46438,-113.0,-125,-100,0.92
TR1,Taranto (Italy; TR1),17.24707,40.46438,-113.0,-100,-75,0.08
TR2,Taranto (Italy; TR2),17.24707,40.46438,-49.0,-75,-50,0.36
TR2,Taranto (Italy; TR2),17.24707,40.46438,-49.0,-50,-25,0.64
