wreck_id,sitename,locname,longitude,latitude,wreckage_after,wreckage_before,bin_start_year,bin_end_year,weight
oxrep_loc_1658,Siracusa,Siracusa D,15.3,37.07,-150.0,400.0,-100,-75,0.045455
oxrep_loc_1658,Siracusa,Siracusa D,15.3,37.07,-150.0,400.0,-75,-50,0.045455
oxrep_loc_1658,Siracusa,Siracusa D,15.3,37.07,-150.0,400.0,-50,-25,0.045455
oxrep_loc_1658,Siracusa,Siracusa D,15.3,37.07,-150.0,400.0,-25,0,0.045455
oxrep_loc_1712,Stentinello,Stentinello,15.25,37.11666666666667,-300.0,-280.0,-300,-275,1.0
oxrep_loc_1784,Taranto,Taranto B,17.25,40.47,-300.0,-150.0,-300,-275,0.166667
oxrep_loc_1784,Taranto,Taranto B,17.25,40.47,-300.0,-150.0,-275,-250,0.166667
oxrep_loc_1784,Taranto,Taranto B,17.25,40.47,-300.0,-150.0,-250,-225,0.166667
oxrep_loc_1784,Taranto,Taranto B,17.25,40.47,-300.0,-150.0,-225,-200,0.166667
oxrep_loc_1784,Taranto,Taranto B,17.25,40.47,-300.0,-150.0,-200,-175,0.166667
oxrep_loc_1784,Taranto,Taranto B,17.25,40.47,-300.0,-150.0,-175,-150,0.166667
oxrep_loc_1794,Siracusa,Siracusa A,15.3,37.07,-450.0,-430.0,-450,-425,1.0
oxrep_loc_1962,Gela,Gela A,14.26666,37.04304,-525.0,-475.0,-525,-500,0.5
oxrep_loc_1962,Gela,Gela A,14.26666,37.04304,-525.0,-475.0,-500,-475,0.5
oxrep_loc_1974,Marsala,Marsala (Sister Ship),12.4669,37.74462,-300.0,-200.0,-300,-275,0.25
oxrep_loc_1974,Marsala,Marsala (Sister Ship),12.4669,37.74462,-300.0,-200.0,-275,-250,0.25
oxrep_loc_1974,Marsala,Marsala (Sister Ship),12.4669,37.74462,-300.0,-200.0,-250,-225,0.25
oxrep_loc_1974,Marsala,Marsala (Sister Ship),12.4669,37.74462,-300.0,-200.0,-225,-200,0.25
oxrep_loc_2231,Gallipoli,Gallipoli (BA),18.07388,39.97683,-150.0,400.0,-150,-125,0.045455
oxrep_loc_2231,Gallipoli,Gallipoli (BA),18.07388,39.97683,-150.0,400.0,-125,-100,0.045455
oxrep_loc_2231,Gallipoli,Gallipoli (BA),18.07388,39.97683,-150.0,400.0,-100,-75,0.045455
oxrep_loc_2231,Gallipoli,Gallipoli (BA),18.07388,39.97683,-150.0,400.0,-75,-50,0.045455
oxrep_loc_2231,Gallipoli,Gallipoli (BA),18.07388,39.97683,-150.0,400.0,-50,-25,0.045455
oxrep_loc_2231,Gallipoli,Gallipoli (BA),18.07388,39.97683,-150.0,400.0,-25,0,0.045455
oxrep_loc_2355,Vulpiglia,Vulpiglia,15.133333333333333,36.7,-300.0,-290.0,-300,-275,1.0
oxrep_loc_2551,Lampedusa,Lampedusa B,12.6,35.483333333333334,-125.0,-75.0,-125,-100,0.5
oxrep_loc_2551,Lampedusa,Lampedusa B,12.6,35.483333333333334,-125.0,-75.0,-100,-75,0.5
oxrep_loc_2567,Savelletri,Savelletri,17.4,40.86666666666667,-280.0,-250.0,-300,-275,0.166667
oxrep_loc_2567,Savelletri,Savelletri,17.4,40.86666666666667,-280.0,-250.0,-275,-250,0.833333
oxrep_loc_2666,Valle Ponti,Valle Ponti,12.166666666666666,44.66666666666666,-25.0,-1.0,-25,0,1.0
oxrep_loc_536,Secche Di Ugento,Secche Di Ugento A,18.15,39.81666666666667,-50.0,100.0,-50,-25,0.166667
oxrep_loc_536,Secche Di Ugento,Secche Di Ugento A,18.15,39.81666666666667,-50.0,100.0,-25,0,0.166667
oxrep_loc_585,Torre Melissa - Villaggio Sirio,Torre Melissa - Villaggio Sirio,17.11326,39.30421,-125.0,0.0,-125,-100,0.2
oxrep_loc_585,Torre Melissa - Villaggio Sirio,Torre Melissa - Villaggio Sirio,17.11326,39.30421,-125.0,0.0,-100,-75,0.2
oxrep_loc_585,Torre Melissa - Villaggio Sirio,Torre Melissa - Villaggio Sirio,17.11326,39.30421,-125.0,0.0,-75,-50,0.2
oxrep_loc_585,Torre Melissa - Villaggio Sirio,Torre Melissa - Villaggio Sirio,17.11326,39.30421,-125.0,0.0,-50,-25,0.2
oxrep_loc_585,Torre Melissa - Villaggio Sirio,Torre Melissa - Villaggio Sirio,17.11326,39.30421,-125.0,0.0,-25,0,0.2
oxrep_loc_586,Sa Tonnara,Sa Tonnara A,8.40351,40.05386,-200.0,-150.0,-200,-175,0.5
oxrep_loc_586,Sa Tonnara,Sa Tonnara A,8.40351,40.05386,-200.0,-150.0,-175,-150,0.5
oxrep_loc_636,Punta di Zambrone,Punta di Zambrone,15.97789,38.72,-100.0,40.0,-100,-75,0.178571
oxrep_loc_636,Punta di Zambrone,Punta di Zambrone,15.97789,38.72,-100.0,40.0,-75,-50,0.178571
oxrep_loc_636,Punta di Zambrone,Punta di Zambrone,15.97789,38.72,-100.0,40.0,-50,-25,0.178571
oxrep_loc_636,Punta di Zambrone,Punta di Zambrone,15.97789,38.72,-100.0,40.0,-25,0,0.178571
oxrep_loc_640,Capo d'Armi,Capo d'Armi,15.66942,37.95864,-40.0,100.0,-50,-25,0.107143
oxrep_loc_640,Capo d'Armi,Capo d'Armi,15.66942,37.95864,-40.0,100.0,-25,0,0.178571
oxrep_loc_645,Porto Palo di Menfi,Porto Palo di Menfi,12.91082,37.57434,-200.0,-100.0,-200,-175,0.25
oxrep_loc_645,Porto Palo di Menfi,Porto Palo di Menfi,12.91082,37.57434,-200.0,-100.0,-175,-150,0.25
oxrep_loc_645,Porto Palo di Menfi,Porto Palo di Menfi,12.91082,37.57434,-200.0,-100.0,-150,-125,0.25
oxrep_loc_645,Porto Palo di Menfi,Porto Palo di Menfi,12.91082,37.57434,-200.0,-100.0,-125,-100,0.25
oxrep_loc_692,Capo di Torre Cavallo,Capo di Torre Cavallo,18.016666666666666,40.63333333333333,-150.0,-50.0,-150,-125,0.25
oxrep_loc_692,Capo di Torre Cavallo,Capo di Torre Cavallo,18.016666666666666,40.63333333333333,-150.0,-50.0,-125,-100,0.25
oxrep_loc_692,Capo di Torre Cavallo,Capo di Torre Cavallo,18.016666666666666,40.63333333333333,-150.0,-50.0,-100,-75,0.25
oxrep_loc_692,Capo di Torre Cavallo,Capo di Torre Cavallo,18.016666666666666,40.63333333333333,-150.0,-50.0,-75,-50,0.25
oxrep_loc_707,Torre Flavia,Torre Flavia A,12.0568,41.94812,-150.0,400.0,-150,-125,0.045455
oxrep_loc_707,Torre Flavia,Torre Flavia A,12.0568,41.94812,-150.0,400.0,-125,-100,0.045455
oxrep_loc_707,Torre Flavia,Torre Flavia A,12.0568,41.94812,-150.0,400.0,-100,-75,0.045455
oxrep_loc_707,Torre Flavia,Torre Flavia A,12.0568,41.94812,-150.0,400.0,-75,-50,0.045455
oxrep_loc_707,Torre Flavia,Torre Flavia A,12.0568,41.94812,-150.0,400.0,-50,-25,0.045455
oxrep_loc_707,Torre Flavia,Torre Flavia A,12.0568,41.94812,-150.0,400.0,-25,0,0.045455
oxrep_loc_781,Isola Rossa,Isola Rossa 2,8.84579,41.01725,-30.0,200.0,-50,-25,0.021739
oxrep_loc_781,Isola Rossa,Isola Rossa 2,8.84579,41.01725,-30.0,200.0,-25,0,0.108696
oxrep_loc_808,Alghero,Alghero,8.30944,40.55756,-150.0,400.0,-150,-125,0.045455
oxrep_loc_808,Alghero,Alghero,8.30944,40.55756,-150.0,400.0,-125,-100,0.045455
