stamp_id,site,province_label,longitude,latitude,amphora_type,stamp_code,chronology_in_default_model,range_start_year,range_end_year
9817,Milano,Italia,9.2,45.466667,Lamboglia 2,SCNICSONIC,1,-125,-25
38233,Brindisi,Italia,17.933333,40.633333,Brindisian amphora,VEHILI,1,-125,-25
37563,Canale Giancola,Italia,17.85,40.683333,Brindisian amphora,VISELLI,1,-125,-25
41043,Brindisi,Italia,17.933333,40.633333,Brindisian amphora,ANINIANA,1,-125,-25
35449,Canale Giancola,Italia,17.85,40.683333,Brindisian amphora,SCOPAS,1,-125,-25
25370,Cosa,Italia,12.896389,46.057778,Dressel 1A,SES,1,-150,-1
33858,Albinia,Italia,11.25,42.5,Dressel 1C,ARS,1,-150,-1
40905,Brindisi,Italia,17.933333,40.633333,Brindisian amphora,TARVLAESVLLAEL,1,-125,-25
38356,Brindisi,Italia,17.933333,40.633333,Brindisian amphora,VEHILI,1,-125,-25
33696,Modena,Italia,10.9,44.5,Dressel 6A,CIRT,1,-50,-1
11109,Pegognaga,Italia,10.85,45.0,Dressel 6B,NNESECV,1,-50,-1
36763,Vicenza,Italia,11.55,45.55,Dressel 6A,MHERPHAE,1,-50,-1
37302,Canale Giancola,Italia,17.85,40.683333,Brindisian amphora,EPIGENVS,1,-125,-25
9766,Milano,Italia,9.2,45.466667,Lamboglia 2,GENTI,1,-125,-25
35162,Canale Giancola,Italia,17.85,40.683333,Brindisian amphora,DIOCLEI,1,-125,-25
35603,Canale Giancola,Italia,17.85,40.683333,Brindisian amphora,VISELLI,1,-125,-25
37684,Brindisi,Italia,17.933333,40.633333,Brindisian amphora,CANINI,1,-125,-25
37248,Canale Giancola,Italia,17.85,40.683333,Brindisian amphora,APOLONI,1,-125,-25
34990,Canale Giancola,Italia,17.85,40.683333,Brindisian amphora,DAEDALI,1,-125,-25
26314,Ostia Antica,Italia,12.283333,41.75,Africana 2B Grande,BSCDLEPMI,0,,
38028,Brindisi,Italia,17.933333,40.633333,Brindisian amphora,CVEHILI,1,-125,-25
9826,Milano,Italia,9.2,45.466667,Lamboglia 2,VV,1,-125,-25
33135,Agrigento,Sicilia,13.566667,37.316667,Greco-Itálica,ETEI,1,-400,-100
34563,Canale Giancola,Italia,17.85,40.683333,Brindisian amphora,APELLAE,1,-125,-25
37251,Canale Giancola,Italia,17.85,40.683333,Brindisian amphora,APOLONI,1,-125,-25
35251,Canale Giancola,Italia,17.85,40.683333,Brindisian amphora,LVCAO,1,-125,-25
35822,Canale Giancola,Italia,17.85,40.683333,Brindisian amphora,VISELLI,1,-125,-25
40001,Brindisi,Italia,17.933333,40.633333,Brindisian amphora,BAHANO,1,-125,-25
40631,Brindisi,Italia,17.933333,40.633333,Brindisian amphora,PERDICAS,1,-125,-25
29575,Ostia Antica,Italia,12.283333,41.75,Dressel 20,FIGCSIC,0,,
34638,Canale Giancola,Italia,17.85,40.683333,Brindisian amphora,APOLLONID,1,-125,-25
19209,Giglio Porto,Italia,10.916667,42.366667,Africana,STELLA,0,,
