loc_id,site_id,country,sea_area,sitename,locname,depth_m,wreckage_after,wreckage_before,dated,in_window,latitude,longitude,coord_source,has_coords
958,464,Italy,,Procida,Procida,,-150.0,-25.0,True,True,,,,False
961,1186,Italy,,Torre Guaceto,Torre Guaceto,,-100.0,-1.0,True,True,40.7,17.783333333333335,v01_geocoded,True
967,1670,Italy,,Santa Caterina di Nardo,Santa Caterina di Nardo,,-175.0,-125.0,True,True,40.13633,17.95166,oxrep_popup,True
969,858,Italy,,Caucana,Caucana,-2.0,700.0,800.0,True,False,,,,False
985,530,Italy,,Plemmirio,Plemmirio C,,-575.0,-525.0,True,True,37.00001,15.3297,oxrep_popup,True
1007,1668,Italy,,L'Asinara,L'Asinara 1,-300.0,50.0,200.0,True,False,,,,False
1015,1980,Italy,,Marausa Lido,Marausa Lido,0.0,200.0,300.0,True,False,,,,False
1018,1478,Italy,,Punta Scaletta,Punta Scaletta,-40.0,-140.0,-130.0,True,True,42.25,11.1,v01_geocoded,True
1064,898,Italy,,Averno,Averno B,,-150.0,400.0,True,True,,,,False
1070,235,Italy,,Ventotene,Ventotene 4,0.0,1.0,100.0,True,False,,,,False
1080,1651,Italy,,Montecristo,Montecristo C,,-150.0,400.0,True,True,,,,False
1088,235,Italy,,Ventotene,Ventotene 2,-140.0,-100.0,-1.0,True,True,40.78333333333333,13.416666666666666,v01_geocoded,True
1092,424,Italy,,Marzamemi,Marzamemi K,,400.0,700.0,True,False,,,,False
1096,1941,Italy,,Secche Di Ugento,Secche Di Ugento B,,-150.0,-1.0,True,True,,,,False
1098,1500,Italy,,Ognina,Ognina (Catania) A,,-150.0,-25.0,True,True,,,,False
1120,431,Italy,,Lido di Sant'Anna,Lido di Sant'Anna,,-150.0,-25.0,True,True,40.66666666666666,17.933333333333334,v01_geocoded,True
1127,581,Italy,,Camarina,Camarina A,-4.0,175.0,200.0,True,False,,,,False
1130,361,Italy,,Isola della Gallinara,Isola della Gallinara (Savona),-50.0,-100.0,-1.0,True,True,44.02648,8.22996,oxrep_popup,True
1140,1511,Italy,,Punta La Cera,Punta La Cera,0.0,180.0,400.0,True,False,,,,False
1144,1605,Italy,,Diano Marina,Diano Marina,-40.0,25.0,75.0,True,False,,,,False
1146,1408,Italy,,Cala Barca,Cala Barca,0.0,,,False,False,,,,False
1147,1643,Italy,,Cala Barbiere,Cala Barbiere,,-200.0,-150.0,True,True,,,,False
1148,554,Italy,,Teulada,Teulada,,-600.0,-300.0,True,True,38.89684,8.7482,oxrep_popup,True
1152,1446,Italy,,Torre Santa Sabina,Torre Santa Sabina 2,-3.0,-300.0,300.0,True,True,40.75993,17.70652,oxrep_popup,True
1160,584,Italy,,Alghero,Alghero 1,0.0,-25.0,150.0,True,True,40.55756,8.30944,oxrep_popup,True
1198,619,Italy,,Sciacca,Sciacca,,-150.0,400.0,True,True,37.49603,13.08025,oxrep_popup,True
1204,375,Italy,,La Madonnina,La Madonnina,,-325.0,-300.0,True,True,40.28333333333333,17.533333333333335,v01_geocoded,True
1208,1651,Italy,,Montecristo,Montecristo E,,-100.0,-25.0,True,True,,,,False
1215,1213,Italy,,Isola Rossa,Isola Rossa,,100.0,200.0,True,False,,,,False
1225,1310,Italy,,Isole Pedagne Grandi,Isole Pedagne Grandi,0.0,-25.0,25.0,True,True,40.60026,18.04779,oxrep_popup,True
1239,619,Italy,,Sciacca,Sciacca,-25.0,-100.0,0.0,True,True,37.49603,13.08025,oxrep_popup,True
1240,1946,Italy,,Punta Scifo,Punta Scifo B,,-300.0,-100.0,True,True,,,,False
1262,1371,Italy,,Guardia de su Turcu,Guardia de su Turcu,-13.0,1000.0,1500.0,False,False,,,,False
