bin_start_year,bin_end_year,site,longitude,latitude,amphora_type,stamp_count,log1p_stamp_count,temporal_probability,weighted_evidence
-50,-25,Ivrea,7.866667,45.466667,Dressel 1,1,0.6931471805599453,0.16666666666666666,0.11552453009332421
-25,0,Ivrea,7.866667,45.466667,Dressel 1,1,0.6931471805599453,0.16666666666666666,0.11552453009332421
-125,-100,Ivrea,7.866667,45.466667,Lamboglia 2,2,1.0986122886681096,0.25,0.2746530721670274
-100,-75,Ivrea,7.866667,45.466667,Lamboglia 2,2,1.0986122886681096,0.25,0.2746530721670274
-75,-50,Ivrea,7.866667,45.466667,Lamboglia 2,2,1.0986122886681096,0.25,0.2746530721670274
-50,-25,Ivrea,7.866667,45.466667,Lamboglia 2,2,1.0986122886681096,0.25,0.2746530721670274
-125,-100,La Torre,12.066667,44.016667,Lamboglia 2,1,0.6931471805599453,0.25,0.17328679513998632
-100,-75,La Torre,12.066667,44.016667,Lamboglia 2,1,0.6931471805599453,0.25,0.17328679513998632
-75,-50,La Torre,12.066667,44.016667,Lamboglia 2,1,0.6931471805599453,0.25,0.17328679513998632
-50,-25,La Torre,12.066667,44.016667,Lamboglia 2,1,0.6931471805599453,0.25,0.17328679513998632
-125,-100,Lecce,18.183333,40.383333,Brindisian amphora,5,1.791759469228055,0.25,0.44793986730701374
-100,-75,Lecce,18.183333,40.383333,Brindisian amphora,5,1.791759469228055,0.25,0.44793986730701374
-75,-50,Lecce,18.183333,40.383333,Brindisian amphora,5,1.791759469228055,0.25,0.44793986730701374
-50,-25,Lecce,18.183333,40.383333,Brindisian amphora,5,1.791759469228055,0.25,0.44793986730701374
-400,-375,Licata,13.933333,37.1,Greco-Itálica,1,0.6931471805599453,0.08333333333333333,0.057762265046662105
-375,-350,Licata,13.933333,37.1,Greco-Itálica,1,0.6931471805599453,0.08333333333333333,0.057762265046662105
-350,-325,Licata,13.933333,37.1,Greco-Itálica,1,0.6931471805599453,0.08333333333333333,0.057762265046662105
-325,-300,Licata,13.933333,37.1,Greco-Itálica,1,0.6931471805599453,0.08333333333333333,0.057762265046662105
-300,-275,Licata,13.933333,37.1,Greco-Itálica,1,0.6931471805599453,0.08333333333333333,0.057762265046662105
-275,-250,Licata,13.933333,37.1,Greco-Itálica,1,0.6931471805599453,0.08333333333333333,0.057762265046662105
-250,-225,Licata,13.933333,37.1,Greco-Itálica,1,0.6931471805599453,0.08333333333333333,0.057762265046662105
-225,-200,Licata,13.933333,37.1,Greco-Itálica,1,0.6931471805599453,0.08333333333333333,0.057762265046662105
-200,-175,Licata,13.933333,37.1,Greco-Itálica,1,0.6931471805599453,0.08333333333333333,0.057762265046662105
-175,-150,Licata,13.933333,37.1,Greco-Itálica,1,0.6931471805599453,0.08333333333333333,0.057762265046662105
-150,-125,Licata,13.933333,37.1,Greco-Itálica,1,0.6931471805599453,0.08333333333333333,0.057762265046662105
-125,-100,Licata,13.933333,37.1,Greco-Itálica,1,0.6931471805599453,0.08333333333333333,0.057762265046662105
-125,-100,Lilibeo,12.416667,37.8,Brindisian amphora,1,0.6931471805599453,0.25,0.17328679513998632
-100,-75,Lilibeo,12.416667,37.8,Brindisian amphora,1,0.6931471805599453,0.25,0.17328679513998632
-75,-50,Lilibeo,12.416667,37.8,Brindisian amphora,1,0.6931471805599453,0.25,0.17328679513998632
-50,-25,Lilibeo,12.416667,37.8,Brindisian amphora,1,0.6931471805599453,0.25,0.17328679513998632
-150,-125,Lilibeo,12.416667,37.8,Dressel 1,2,1.0986122886681096,0.16666666666666666,0.18310204811135158
-125,-100,Lilibeo,12.416667,37.8,Dressel 1,2,1.0986122886681096,0.16666666666666666,0.18310204811135158
-100,-75,Lilibeo,12.416667,37.8,Dressel 1,2,1.0986122886681096,0.16666666666666666,0.18310204811135158
-75,-50,Lilibeo,12.416667,37.8,Dressel 1,2,1.0986122886681096,0.16666666666666666,0.18310204811135158
-50,-25,Lilibeo,12.416667,37.8,Dressel 1,2,1.0986122886681096,0.16666666666666666,0.18310204811135158
-25,0,Lilibeo,12.416667,37.8,Dressel 1,2,1.0986122886681096,0.16666666666666666,0.18310204811135158
-400,-375,Lilibeo,12.416667,37.8,Greco-Itálica,9,2.302585092994046,0.08333333333333333,0.19188209108283716
