pleiades_id,title,longitude,latitude,location_precision,feature_types,time_periods,sources,in_window_bins
383710,*Minervium,10.141892,45.355168,precise,settlement,"roman,late-antique",pleiades_settlement,0.055
383711,Modicia,9.273926,45.5839066667,precise,settlement,"roman,late-antique",pleiades_settlement,0.055
383712,Monte Barro,9.36685208576,45.8320800419,precise,"architecturalcomplex, villa, archaeological-site","roman-early-empire-late-antique,late-antique,twentieth-ce",pleiades_production,0.027
383715,Mutina,10.925223,44.647057,precise,settlement,"roman,late-antique,modern",pleiades_settlement,0.055
383717,Novaria,8.618661,45.445082,precise,settlement,"roman,late-antique,modern",pleiades_settlement,0.055
383720,Ocelum,7.344923,45.116103,precise,station,"roman,late-antique",pleiades_transport,0.055
383730,Pagus Arusnatium,10.9199075946,45.5669146473,precise,"region, pagus, label",roman,pleiades_settlement,0.102
383732,Pagus *Fortunensis,9.47862532897,45.6850374541,precise,"pagus, label",roman,pleiades_settlement,0.102
383735,Palazzo Pignano,9.5739118,45.3924289,precise,villa,late-antique,pleiades_production,0.0
383737,Parma,10.327967,44.801507,precise,settlement,"roman,late-antique,modern",pleiades_settlement,0.055
383739,Parra,9.887912,45.872575,precise,settlement,"archaic,classical,hellenistic-republican,roman,late-antique",pleiades_settlement,25.75
383740,Pedo(na),7.468615,44.335303,precise,settlement,"roman,late-antique",pleiades_settlement,0.055
383741,Placentia,9.6976645,45.0525855,precise,settlement,"roman,late-antique,twentieth-ce,twenty-first-ce",pleiades_settlement,0.055
383742,Plinio,9.311135,46.089624,precise,villa,"roman,late-antique",pleiades_production,0.055
383743,Plumbia,8.633496,45.652008,precise,settlement,"roman,late-antique",pleiades_settlement,0.055
383744,Poggio di Gaggiola,10.933886,44.198002,precise,settlement,"archaic,classical",pleiades_settlement,8.15
383745,Pollentia,7.895976,44.686768,precise,settlement,"roman,late-antique",pleiades_settlement,0.055
383747,Pons Aureoli,9.542833,45.576747,precise,station,"roman,late-antique",pleiades_transport,0.055
383748,Pons *Seciae,10.781256,44.65373,precise,station,"roman,late-antique",pleiades_transport,0.055
383750,Portus Delphini,9.207761,44.303972,precise,station,"roman,late-antique",pleiades_transport,0.055
