hoard_id,label,findspot,geonames_uri,closing_year,n_coin_types,country,longitude,latitude,findspot_radius_km,dated
CST,Castelnovo (Italy; CST),"Castelnovo, Italy",https://sws.geonames.org/3179546/,-71.0,132,Italy,10.40329,44.43556,5.0,True
CTG,Contigliano (Italy; CTG),"Contigliano, Italy",https://sws.geonames.org/3178169/,-39.0,242,Italy,12.77202,42.41058,5.0,True
CTM,Cantone tre Miglia (Italy; CTM),"Cantone tre Miglia, Italy",https://sws.geonames.org/6543193/,,0,Italy,9.14055,45.24066,5.0,False
NDP,Noventa di Piave (Italy; NDP),"Noventa di Piave, Italy",https://sws.geonames.org/3172175/,,0,Italy,12.53322,45.65981,5.0,False
CTR,Canturato (Italy; CTR),"Canturato, Italy",https://sws.geonames.org/8504667/,-74.0,33,Italy,17.08468,39.17186,5.0,True
CUO,Masseria Cuoco (Italy; CUO),"Masseria Cuoco, Italy",https://sws.geonames.org/3173537/,-137.0,9,Italy,17.80774,40.55851,5.0,True
CUP,San Angelo a Cupolo (Italy; CUP),"San Angelo a Cupolo, Italy",https://sws.geonames.org/6535294/,-170.0,33,Italy,14.80374,41.06912,5.0,True
NOC,Nociglia (Italy; NOC),"Nociglia, Italy",https://sws.geonames.org/3172239/,-92.0,39,Italy,18.32757,40.03804,5.0,True
CVC,Caltrano Vicentino (Italy; CVC),"Caltrano Vicentino, Italy",https://sws.geonames.org/3181166/,,0,Italy,11.4557,45.77346,5.0,False
NOG,San Giorgio di Nogaro (Italy; NOG),"San Giorgio di Nogaro, Italy",https://sws.geonames.org/3168302/,,0,Italy,13.21088,45.82745,5.0,False
CVE,Cologna Veneta (Italy; CVE),"Cologna Veneta, Italy",https://sws.geonames.org/3178288/,-27.0,80,Italy,11.38032,45.30777,5.0,True
CVG,Carovigno (Italy; CVG),"Carovigno, Italy",https://sws.geonames.org/3180462/,-100.0,120,Italy,17.65847,40.70626,5.0,True
OLE,Oleggio (Italy; OLE),"Oleggio, Italy",https://sws.geonames.org/3172079/,-86.0,88,Italy,8.64213,45.59674,5.0,True
DOM,Santa Domenica di Tropea (Italy; DOM),"Santa Domenica di Tropea, Italy",https://sws.geonames.org/2522847/,-82.0,67,Italy,15.89505,38.67449,5.0,True
OLM,Olmeneta (Italy; OLM),"Olmeneta, Italy",https://sws.geonames.org/3172041/,-100.0,109,Italy,10.02318,45.2354,5.0,True
ORS,Orsara (Italy; ORS),"Orsara, Italy",https://sws.geonames.org/3171914/,-137.0,2,Italy,15.26765,41.28163,5.0,True
OSL,Ossolaro (Italy; OSL),"Ossolaro, Italy",https://sws.geonames.org/3171742/,-45.0,272,Italy,9.92876,45.23797,5.0,True
ECL,Mirabella Eclano (Italy; ECL),"Mirabella Eclano, Italy",https://sws.geonames.org/3173383/,-46.0,64,Italy,15.00022,41.04496,5.0,True
OSS,Ossero (Italy; OSS),"Ossero, Italy",https://sws.geonames.org/3193885/,-72.0,150,Italy,14.39333,44.69556,5.0,True
ELE,Elena (Italy; ELE),"Elena, Italy",https://sws.geonames.org/2523665/,-101.0,42,Italy,9.25004,39.22935,5.0,True
OVO,Mont'Ovolo (Italy; OVO),"Mont'Ovolo, Italy",https://sws.geonames.org/8504671/,,27,Italy,11.0934,44.21719,5.0,False
P02,Padova (Italy; P02),"Padova, Italy",https://sws.geonames.org/3171728/,-42.0,16,Italy,11.88586,45.40797,15.0,True
