bin_start_year,bin_end_year,port_id,name,longitude,latitude,foundation_year,start_uncertainty_halfwidth_years,active_probability
-675,-650,1069,"Lokroi Epizephyrioi, Locri Epizefiri, Locres ",16.2368,38.2077,-750.0,60.0,1.0
-675,-650,1071,"Amphissa, Santo Onofrio ",16.413143,38.318166,-750.0,60.0,1.0
-675,-650,1072,"Kaulonia, Caulonia, Aulonia, Stilida",16.5787,38.4454,-750.0,60.0,1.0
-675,-650,1080,,17.16869,38.95411,-750.0,60.0,1.0
-675,-650,1082,"Kroton, Crotone, on R Aisaros",17.126348,39.085539,-750.0,60.0,1.0
-675,-650,1084,Krimisa?,17.140861,39.370149,-750.0,60.0,1.0
-675,-650,1085,"Temple of Apollo Alaeus, port of Aesarus ",17.1466,39.39654,-750.0,60.0,1.0
-675,-650,1090,"archaic Sybaris, on R Sybaris and R Crathis, Thourioi, Thurii, Copia",16.491191,39.717044,-720.0,20.0,1.0
-675,-650,1091,,16.538059,39.865106,-1500.0,100.0,1.0
-675,-650,1097,"Siris, on R Siris",16.6682,40.1658,-750.0,60.0,1.0
-675,-650,1098.0999999999999,,16.6642,40.2934,-1500.0,100.0,1.0
-675,-650,1099,"Metapontum, Metaponte",16.8352,40.3728,-750.0,60.0,1.0
-675,-650,1100,"Tarentum, Taras, Neptuna",17.228144,40.472032,-750.0,60.0,1.0
-675,-650,1103,"Satyrion, Saturnum ",17.30396,40.37282,-1500.0,100.0,1.0
-675,-650,1105,Port Sasina ,17.896215,40.25706,-750.0,60.0,1.0
-675,-650,1106,Port of Neretum,17.983673,40.137046,-750.0,60.0,1.0
-675,-650,1107,"Kallipolis, Callipolis, Anxa ",17.979931,40.054413,-750.0,60.0,1.0
-675,-650,1110,"Portus Sallentinus, Leuke, near Iapygia Prom.",18.362675,39.792157,-750.0,60.0,1.0
-675,-650,1112,"Zancle, Zankle, Messana, Messene",15.560811,38.192865,-730.0,20.0,1.0
-675,-650,1113,,15.536584,38.145129,-750.0,60.0,1.0
-675,-650,1118,"Archaic Naxos, near R Akesines",15.2694,37.8193,-734.0,10.0,1.0
-675,-650,1123,"Katane, Catina ",15.0873,37.5024,-750.0,60.0,1.0
-675,-650,1123.2,"Leontinoi, on R Terias",14.998,37.2855,-750.0,60.0,1.0
-675,-650,1124,,15.132834,37.310011,-750.0,60.0,1.0
-675,-650,1126,"Megara Hyblaea, on R Alabon",15.183741,37.205772,-750.0,60.0,1.0
