ID_Internal,Reference,Region,Groundedness,Specified.Location,Pleiades,Latitude,Longitude,Date.Start,Date.End,Date.Start.Orig,Date.End.Orig,Object.Type,Inscription.Use,Alphabet,Alphabet.Direction,Language,Notes,Script
16681,EDCS-59900029,Etruria Settentrionale,,Perugia / Perusia,1,43.111192,12.3899085,-50,-26,-41,-40,,,5,,Latin,,
16682,EDCS-59900030,Etruria Settentrionale,,Perugia / Perusia,1,43.111192,12.3899085,-50,-26,-41,-40,,,5,,Latin,,
16683,EDCS-59900031,Etruria Settentrionale,,Perugia / Perusia,1,43.111192,12.3899085,-50,-26,-41,-40,,,5,,Latin,,
16684,EDCS-59900032,Etruria Settentrionale,,Perugia / Perusia,1,43.111192,12.3899085,-50,-26,-41,-40,,,5,,Latin,,
16685,EDCS-59900033,Etruria Settentrionale,,Perugia / Perusia,1,43.111192,12.3899085,-50,-26,-41,-40,,,5,,Latin,,
16686,EDCS-59900035,Etruria Settentrionale,,Perugia / Perusia,1,43.111192,12.3899085,-50,-26,-41,-40,,,5,,Latin,,
16687,EDCS-59900036,Etruria Settentrionale,,Perugia / Perusia,1,43.111192,12.3899085,-50,-26,-41,-40,,,5,,Latin,,
16688,EDCS-59900037,Etruria Settentrionale,,Perugia / Perusia,1,43.111192,12.3899085,-50,-26,-41,-40,,,5,,Latin,,
16689,EDCS-59900038,Etruria Settentrionale,,Perugia / Perusia,1,43.111192,12.3899085,-50,-26,-41,-40,,,5,,Latin,,
16690,EDCS-59900039,Etruria Settentrionale,,Perugia / Perusia,1,43.111192,12.3899085,-50,-26,-41,-40,,,5,,Latin,,
16691,EDCS-59900040,Etruria Settentrionale,,Perugia / Perusia,1,43.111192,12.3899085,-50,-26,-41,-40,,,5,,Latin,,
16692,EDCS-59900041,Etruria Settentrionale,,Perugia / Perusia,1,43.111192,12.3899085,-50,-26,-41,-40,,,5,,Latin,,
16693,EDCS-59900042,Etruria Settentrionale,,Perugia / Perusia,1,43.111192,12.3899085,-50,-26,-41,-40,,,5,,Latin,,
16694,EDCS-59900043,Etruria Settentrionale,,Perugia / Perusia,1,43.111192,12.3899085,-50,-26,-41,-40,,,5,,Latin,,
16695,EDCS-59900044,Etruria Settentrionale,,Perugia / Perusia,1,43.111192,12.3899085,-50,-26,-41,-40,,,5,,Latin,,
16696,EDCS-59900045,Etruria Settentrionale,,Perugia / Perusia,1,43.111192,12.3899085,-50,-26,-41,-40,,,5,,Latin,,
16697,EDCS-59900046,Etruria Settentrionale,,Perugia / Perusia,1,43.111192,12.3899085,-50,-26,-41,-40,,,5,,Latin,,
